
%BEGIN rPTSA config
restriction := 100
q0 := qBack
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(qBack, m0, root, 1, (q, m1, up g))
(qBack, m88, root, 1, (q, m89, up g))
(qBack, m89, root, 1, (q, m90, up g))
(qBack, m90, root, 1, (q, m91, up g))
(qBack, m91, root, 1, (q, m92, up g))
(qBack, m92, root, 1, (q, m93, up g))
(qBack, m93, root, 1, (q, m94, up g))
(qBack, m94, root, 1, (q, m95, up g))
(qBack, m95, root, 1, (q, m96, up g))
(qBack, m96, root, 1, (q, m97, up g))
(qBack, m97, root, 1, (q, m98, up g))
(qBack, m98, root, 1, (q, m99, up g))
(qBack, m99, root, 1, (q, m100, up g))
(qBack, m100, root, 1, \top)
(q, m0, g, 1/2, (q, mA1, up g))
(q, m0, g, 1/3, (q, mB, up g))
(q, m0, g, 1/6, (qBack, mEnd, down))
(qBack, mA1, g, 1, (qBack, mA1, down))
(qBack, mB, g, 1, (qBack, mB, down))
(q, mEnd, g, 1, (qBack, mEnd, down))
(q, mB, g, 1, (q, mB, up g))
(q, mA1, g, 1/2, (q, mA2, up g))
(q, mA1, g, 1/2, \top)
(qBack, mA2, g, 1, (qBack, mA2, down))
(q, mA2, g, 2/3, (q, mA3, up g))
(q, mA2, g, 1/3, \top)
(qBack, mA3, g, 1, (qBack, mA3, down))
(q, mA3, g, 3/4, (q, mA4, up g))
(q, mA3, g, 1/4, \top)
(qBack, mA4, g, 1, (qBack, mA4, down))
(q, mA4, g, 4/5, (q, mA5, up g))
(q, mA4, g, 1/5, \top)
(qBack, mA5, g, 1, (qBack, mA5, down))
(q, mA5, g, 5/6, (q, mA6, up g))
(q, mA5, g, 1/6, \top)
(qBack, mA6, g, 1, (qBack, mA6, down))
(q, mA6, g, 6/7, (q, mA7, up g))
(q, mA6, g, 1/7, \top)
(qBack, mA7, g, 1, (qBack, mA7, down))
(q, mA7, g, 7/8, (q, mA8, up g))
(q, mA7, g, 1/8, \top)
(qBack, mA8, g, 1, (qBack, mA8, down))
(q, mA8, g, 8/9, (q, mA9, up g))
(q, mA8, g, 1/9, \top)
(qBack, mA9, g, 1, (qBack, mA9, down))
(q, mA9, g, 9/10, (q, mA10, up g))
(q, mA9, g, 1/10, \top)
(qBack, mA10, g, 1, (qBack, mA10, down))
(q, mA10, g, 10/11, (q, mA11, up g))
(q, mA10, g, 1/11, \top)
(qBack, mA11, g, 1, (qBack, mA11, down))
(q, mA11, g, 11/12, (q, mA12, up g))
(q, mA11, g, 1/12, \top)
(qBack, mA12, g, 1, (qBack, mA12, down))
(q, mA12, g, 12/13, (q, mA13, up g))
(q, mA12, g, 1/13, \top)
(qBack, mA13, g, 1, (qBack, mA13, down))
(q, mA13, g, 13/14, (q, mA14, up g))
(q, mA13, g, 1/14, \top)
(qBack, mA14, g, 1, (qBack, mA14, down))
(q, mA14, g, 14/15, (q, mA15, up g))
(q, mA14, g, 1/15, \top)
(qBack, mA15, g, 1, (qBack, mA15, down))
(q, mA15, g, 15/16, (q, mA16, up g))
(q, mA15, g, 1/16, \top)
(qBack, mA16, g, 1, (qBack, mA16, down))
(q, mA16, g, 16/17, (q, mA17, up g))
(q, mA16, g, 1/17, \top)
(qBack, mA17, g, 1, (qBack, mA17, down))
(q, mA17, g, 17/18, (q, mA18, up g))
(q, mA17, g, 1/18, \top)
(qBack, mA18, g, 1, (qBack, mA18, down))
(q, mA18, g, 18/19, (q, mA19, up g))
(q, mA18, g, 1/19, \top)
(qBack, mA19, g, 1, (qBack, mA19, down))
(q, mA19, g, 19/20, (q, mA20, up g))
(q, mA19, g, 1/20, \top)
(qBack, mA20, g, 1, (qBack, mA20, down))
(q, mA20, g, 20/21, (q, mA21, up g))
(q, mA20, g, 1/21, \top)
(qBack, mA21, g, 1, (qBack, mA21, down))
(q, mA21, g, 21/22, (q, mA22, up g))
(q, mA21, g, 1/22, \top)
(qBack, mA22, g, 1, (qBack, mA22, down))
(q, mA22, g, 22/23, (q, mA23, up g))
(q, mA22, g, 1/23, \top)
(qBack, mA23, g, 1, (qBack, mA23, down))
(q, mA23, g, 23/24, (q, mA24, up g))
(q, mA23, g, 1/24, \top)
(qBack, mA24, g, 1, (qBack, mA24, down))
(q, mA24, g, 24/25, (q, mA25, up g))
(q, mA24, g, 1/25, \top)
(qBack, mA25, g, 1, (qBack, mA25, down))
(q, mA25, g, 25/26, (q, mA26, up g))
(q, mA25, g, 1/26, \top)
(qBack, mA26, g, 1, (qBack, mA26, down))
(q, mA26, g, 26/27, (q, mA27, up g))
(q, mA26, g, 1/27, \top)
(qBack, mA27, g, 1, (qBack, mA27, down))
(q, mA27, g, 27/28, (q, mA28, up g))
(q, mA27, g, 1/28, \top)
(qBack, mA28, g, 1, (qBack, mA28, down))
(q, mA28, g, 28/29, (q, mA29, up g))
(q, mA28, g, 1/29, \top)
(qBack, mA29, g, 1, (qBack, mA29, down))
(q, mA29, g, 29/30, (q, mA30, up g))
(q, mA29, g, 1/30, \top)
(qBack, mA30, g, 1, (qBack, mA30, down))
(q, mA30, g, 30/31, (q, mA31, up g))
(q, mA30, g, 1/31, \top)
(qBack, mA31, g, 1, (qBack, mA31, down))
(q, mA31, g, 31/32, (q, mA32, up g))
(q, mA31, g, 1/32, \top)
(qBack, mA32, g, 1, (qBack, mA32, down))
(q, mA32, g, 32/33, (q, mA33, up g))
(q, mA32, g, 1/33, \top)
(qBack, mA33, g, 1, (qBack, mA33, down))
(q, mA33, g, 33/34, (q, mA34, up g))
(q, mA33, g, 1/34, \top)
(qBack, mA34, g, 1, (qBack, mA34, down))
(q, mA34, g, 34/35, (q, mA35, up g))
(q, mA34, g, 1/35, \top)
(qBack, mA35, g, 1, (qBack, mA35, down))
(q, mA35, g, 35/36, (q, mA36, up g))
(q, mA35, g, 1/36, \top)
(qBack, mA36, g, 1, (qBack, mA36, down))
(q, mA36, g, 36/37, (q, mA37, up g))
(q, mA36, g, 1/37, \top)
(qBack, mA37, g, 1, (qBack, mA37, down))
(q, mA37, g, 37/38, (q, mA38, up g))
(q, mA37, g, 1/38, \top)
(qBack, mA38, g, 1, (qBack, mA38, down))
(q, mA38, g, 38/39, (q, mA39, up g))
(q, mA38, g, 1/39, \top)
(qBack, mA39, g, 1, (qBack, mA39, down))
(q, mA39, g, 39/40, (q, mA40, up g))
(q, mA39, g, 1/40, \top)
(qBack, mA40, g, 1, (qBack, mA40, down))
(q, mA40, g, 40/41, (q, mA41, up g))
(q, mA40, g, 1/41, \top)
(qBack, mA41, g, 1, (qBack, mA41, down))
(q, mA41, g, 41/42, (q, mA42, up g))
(q, mA41, g, 1/42, \top)
(qBack, mA42, g, 1, (qBack, mA42, down))
(q, mA42, g, 42/43, (q, mA43, up g))
(q, mA42, g, 1/43, \top)
(qBack, mA43, g, 1, (qBack, mA43, down))
(q, mA43, g, 43/44, (q, mA44, up g))
(q, mA43, g, 1/44, \top)
(qBack, mA44, g, 1, (qBack, mA44, down))
(q, mA44, g, 44/45, (q, mA45, up g))
(q, mA44, g, 1/45, \top)
(qBack, mA45, g, 1, (qBack, mA45, down))
(q, mA45, g, 45/46, (q, mA46, up g))
(q, mA45, g, 1/46, \top)
(qBack, mA46, g, 1, (qBack, mA46, down))
(q, mA46, g, 46/47, (q, mA47, up g))
(q, mA46, g, 1/47, \top)
(qBack, mA47, g, 1, (qBack, mA47, down))
(q, mA47, g, 47/48, (q, mA48, up g))
(q, mA47, g, 1/48, \top)
(qBack, mA48, g, 1, (qBack, mA48, down))
(q, mA48, g, 48/49, (q, mA49, up g))
(q, mA48, g, 1/49, \top)
(qBack, mA49, g, 1, (qBack, mA49, down))
(q, mA49, g, 49/50, (q, mA50, up g))
(q, mA49, g, 1/50, \top)
(qBack, mA50, g, 1, (qBack, mA50, down))
(q, mA50, g, 50/51, (q, mA51, up g))
(q, mA50, g, 1/51, \top)
(qBack, mA51, g, 1, (qBack, mA51, down))
(q, mA51, g, 51/52, (q, mA52, up g))
(q, mA51, g, 1/52, \top)
(qBack, mA52, g, 1, (qBack, mA52, down))
(q, mA52, g, 52/53, (q, mA53, up g))
(q, mA52, g, 1/53, \top)
(qBack, mA53, g, 1, (qBack, mA53, down))
(q, mA53, g, 53/54, (q, mA54, up g))
(q, mA53, g, 1/54, \top)
(qBack, mA54, g, 1, (qBack, mA54, down))
(q, mA54, g, 54/55, (q, mA55, up g))
(q, mA54, g, 1/55, \top)
(qBack, mA55, g, 1, (qBack, mA55, down))
(q, mA55, g, 55/56, (q, mA56, up g))
(q, mA55, g, 1/56, \top)
(qBack, mA56, g, 1, (qBack, mA56, down))
(q, mA56, g, 56/57, (q, mA57, up g))
(q, mA56, g, 1/57, \top)
(qBack, mA57, g, 1, (qBack, mA57, down))
(q, mA57, g, 57/58, (q, mA58, up g))
(q, mA57, g, 1/58, \top)
(qBack, mA58, g, 1, (qBack, mA58, down))
(q, mA58, g, 58/59, (q, mA59, up g))
(q, mA58, g, 1/59, \top)
(qBack, mA59, g, 1, (qBack, mA59, down))
(q, mA59, g, 59/60, (q, mA60, up g))
(q, mA59, g, 1/60, \top)
(qBack, mA60, g, 1, (qBack, mA60, down))
(q, mA60, g, 60/61, (q, mA61, up g))
(q, mA60, g, 1/61, \top)
(qBack, mA61, g, 1, (qBack, mA61, down))
(q, mA61, g, 61/62, (q, mA62, up g))
(q, mA61, g, 1/62, \top)
(qBack, mA62, g, 1, (qBack, mA62, down))
(q, mA62, g, 62/63, (q, mA63, up g))
(q, mA62, g, 1/63, \top)
(qBack, mA63, g, 1, (qBack, mA63, down))
(q, mA63, g, 63/64, (q, mA64, up g))
(q, mA63, g, 1/64, \top)
(qBack, mA64, g, 1, (qBack, mA64, down))
(q, mA64, g, 64/65, (q, mA65, up g))
(q, mA64, g, 1/65, \top)
(qBack, mA65, g, 1, (qBack, mA65, down))
(q, mA65, g, 65/66, (q, mA66, up g))
(q, mA65, g, 1/66, \top)
(qBack, mA66, g, 1, (qBack, mA66, down))
(q, mA66, g, 66/67, (q, mA67, up g))
(q, mA66, g, 1/67, \top)
(qBack, mA67, g, 1, (qBack, mA67, down))
(q, mA67, g, 67/68, (q, mA68, up g))
(q, mA67, g, 1/68, \top)
(qBack, mA68, g, 1, (qBack, mA68, down))
(q, mA68, g, 68/69, (q, mA69, up g))
(q, mA68, g, 1/69, \top)
(qBack, mA69, g, 1, (qBack, mA69, down))
(q, mA69, g, 69/70, (q, mA70, up g))
(q, mA69, g, 1/70, \top)
(qBack, mA70, g, 1, (qBack, mA70, down))
(q, mA70, g, 70/71, (q, mA71, up g))
(q, mA70, g, 1/71, \top)
(qBack, mA71, g, 1, (qBack, mA71, down))
(q, mA71, g, 71/72, (q, mA72, up g))
(q, mA71, g, 1/72, \top)
(qBack, mA72, g, 1, (qBack, mA72, down))
(q, mA72, g, 72/73, (q, mA73, up g))
(q, mA72, g, 1/73, \top)
(qBack, mA73, g, 1, (qBack, mA73, down))
(q, mA73, g, 73/74, (q, mA74, up g))
(q, mA73, g, 1/74, \top)
(qBack, mA74, g, 1, (qBack, mA74, down))
(q, mA74, g, 74/75, (q, mA75, up g))
(q, mA74, g, 1/75, \top)
(qBack, mA75, g, 1, (qBack, mA75, down))
(q, mA75, g, 75/76, (q, mA76, up g))
(q, mA75, g, 1/76, \top)
(qBack, mA76, g, 1, (qBack, mA76, down))
(q, mA76, g, 76/77, (q, mA77, up g))
(q, mA76, g, 1/77, \top)
(qBack, mA77, g, 1, (qBack, mA77, down))
(q, mA77, g, 77/78, (q, mA78, up g))
(q, mA77, g, 1/78, \top)
(qBack, mA78, g, 1, (qBack, mA78, down))
(q, mA78, g, 78/79, (q, mA79, up g))
(q, mA78, g, 1/79, \top)
(qBack, mA79, g, 1, (qBack, mA79, down))
(q, mA79, g, 79/80, (q, mA80, up g))
(q, mA79, g, 1/80, \top)
(qBack, mA80, g, 1, (qBack, mA80, down))
(q, mA80, g, 80/81, (q, mA81, up g))
(q, mA80, g, 1/81, \top)
(qBack, mA81, g, 1, (qBack, mA81, down))
(q, mA81, g, 81/82, (q, mA82, up g))
(q, mA81, g, 1/82, \top)
(qBack, mA82, g, 1, (qBack, mA82, down))
(q, mA82, g, 82/83, (q, mA83, up g))
(q, mA82, g, 1/83, \top)
(qBack, mA83, g, 1, (qBack, mA83, down))
(q, mA83, g, 83/84, (q, mA84, up g))
(q, mA83, g, 1/84, \top)
(qBack, mA84, g, 1, (qBack, mA84, down))
(q, mA84, g, 84/85, (q, mA85, up g))
(q, mA84, g, 1/85, \top)
(qBack, mA85, g, 1, (qBack, mA85, down))
(q, mA85, g, 85/86, (q, mA86, up g))
(q, mA85, g, 1/86, \top)
(qBack, mA86, g, 1, (qBack, mA86, down))
(q, mA86, g, 86/87, (q, mA87, up g))
(q, mA86, g, 1/87, \top)
(qBack, mA87, g, 1, (qBack, mA87, down))
(q, mA87, g, 87/88, (q, mA88, up g))
(q, mA87, g, 1/88, \top)
(qBack, mA88, g, 1, (qBack, mA88, down))
(q, mA88, g, 88/89, (q, mA89, up g))
(q, mA88, g, 1/89, \top)
(qBack, mA89, g, 1, (qBack, mA89, down))
(q, mA89, g, 89/90, (q, mA90, up g))
(q, mA89, g, 1/90, \top)
(qBack, mA90, g, 1, (qBack, mA90, down))
(q, mA90, g, 90/91, (q, mA91, up g))
(q, mA90, g, 1/91, \top)
(qBack, mA91, g, 1, (qBack, mA91, down))
(q, mA91, g, 91/92, (q, mA92, up g))
(q, mA91, g, 1/92, \top)
(qBack, mA92, g, 1, (qBack, mA92, down))
(q, mA92, g, 92/93, (q, mA93, up g))
(q, mA92, g, 1/93, \top)
(qBack, mA93, g, 1, (qBack, mA93, down))
(q, mA93, g, 93/94, (q, mA94, up g))
(q, mA93, g, 1/94, \top)
(qBack, mA94, g, 1, (qBack, mA94, down))
(q, mA94, g, 94/95, (q, mA95, up g))
(q, mA94, g, 1/95, \top)
(qBack, mA95, g, 1, (qBack, mA95, down))
(q, mA95, g, 95/96, (q, mA96, up g))
(q, mA95, g, 1/96, \top)
(qBack, mA96, g, 1, (qBack, mA96, down))
(q, mA96, g, 96/97, (q, mA97, up g))
(q, mA96, g, 1/97, \top)
(qBack, mA97, g, 1, (qBack, mA97, down))
(q, mA97, g, 97/98, (q, mA98, up g))
(q, mA97, g, 1/98, \top)
(qBack, mA98, g, 1, (qBack, mA98, down))
(q, mA98, g, 98/99, (q, mA99, up g))
(q, mA98, g, 1/99, \top)
(qBack, mA99, g, 1, (qBack, mA99, down))
(q, mA99, g, 99/100, (q, mA100, up g))
(q, mA99, g, 1/100, \top)
(qBack, mA100, g, 1, (qBack, mA100, down))
%END rPTSA rules
